0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:54:02 -0700] "GET /getAllStudents HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:55:09 -0700] "GET /getAllStudents HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:55:09 -0700] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:55:10 -0700] "GET /getAllStudents HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:55:10 -0700] "GET /favicon.ico HTTP/1.1" 200 946
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:55:10 -0700] "GET /getAllStudents HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:22 -0700] "GET /getAllStudents HTTP/1.1" 200 264 191(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:22 -0700] "GET /favicon.ico HTTP/1.1" 200 946 8(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:23 -0700] "GET /getAllStudents HTTP/1.1" 200 264 7(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:23 -0700] "GET /favicon.ico HTTP/1.1" 200 946 3(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:24 -0700] "GET /getAllStudents HTTP/1.1" 200 264 6(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:24 -0700] "GET /favicon.ico HTTP/1.1" 200 946 3(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /getAllStudents HTTP/1.1" 200 264 7(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /favicon.ico HTTP/1.1" 200 946 2(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /getAllStudents HTTP/1.1" 200 264 6(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /favicon.ico HTTP/1.1" 200 946 3(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /getAllStudents HTTP/1.1" 200 264 5(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /favicon.ico HTTP/1.1" 200 946 2(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /getAllStudents HTTP/1.1" 200 264 5(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:15:56:29 -0700] "GET /favicon.ico HTTP/1.1" 200 946 2(ms)
0:0:0:0:0:0:0:1 - - [11/Apr/2017:16:05:35 -0700] "GET /getAllStudents HTTP/1.1" 200 264 200(ms)
